course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2101,Confirmed,0,1887,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2102,Cancelled,0,1888,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2103,Cancelled,1,1889,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2104,Confirmed,0,1673,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,88,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2105,Confirmed,0,1810,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,113,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2106,Confirmed,0,1890,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,89,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,Québec,2107,Confirmed,0,1891,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,102,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Québec,2108,Confirmed,0,1892,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2109,Cancelled,0,1893,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2110,Cancelled,1,1894,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2111,Confirmed,0,1895,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,103,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2112,Confirmed,0,1896,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,103,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2113,Cancelled,0,1897,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,123,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2114,Confirmed,0,1898,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2115,Confirmed,0,1899,EX-01,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2116,Confirmed,0,1900,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2117,Confirmed,0,1901,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,126,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,2118,Cancelled,0,1902,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,51,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,2119,Confirmed,0,1903,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,48,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Ontario,2120,Cancelled,0,988,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,72,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,2121,Confirmed,0,1904,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,70,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2122,Cancelled,0,1905,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,127,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,2123,Confirmed,0,1906,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Managing the Transition to GCDOCS: Virtual Classroom (I013),La transition vers GCDocs (I013),I013,110,Delivered - Normal,September,septembre,6,Specialized,Spécialisé,GCDocs,GCDocs,English/Anglais,NCR,2124,Cancelled,0,1907,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,74,Cancelled - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,2125,Cancelled - Class Cancelled,0,1908,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,112,Open - Normal,November,novembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2126,Confirmed,0,1909,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2127,Cancelled,0,1910,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2128,Cancelled,0,1911,EC-06,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2129,Confirmed,0,1912,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2130,Confirmed,0,1913,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,99,Open - Normal,November,novembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2131,Confirmed,0,1914,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,102,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Québec,2132,Cancelled,0,983,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,96,Open - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,2133,Cancelled,0,1915,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2134,Confirmed,0,1916,AS-04,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,109,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2135,Confirmed,0,1917,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,130,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2136,Confirmed,0,1918,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,46,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,2137,Confirmed,0,1919,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,27,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,2138,Cancelled,0,1920,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2139,Confirmed,0,1921,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2140,Confirmed,0,1922,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,36,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2141,Confirmed,0,1923,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,78,Open - Normal,November,novembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2142,Cancelled,0,1802,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,107,Cancelled - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,2143,Cancelled - Class Cancelled,0,1802,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,64,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,French/Français,NCR,2144,Confirmed,0,1924,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,64,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,French/Français,NCR,2145,Confirmed,0,1925,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,73,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,NCR,2146,Confirmed,0,32,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,33,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,2147,Confirmed,0,1926,EX-01,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,33,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,2148,Confirmed,0,1927,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,74,Cancelled - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,2149,Cancelled - Class Cancelled,0,1928,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2150,Confirmed,0,1929,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2151,Cancelled,0,1930,EC-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2152,Confirmed,0,1931,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,112,Open - Normal,November,novembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2153,Confirmed,0,1932,EC-04,CBD,Cannabis Canada,Cannabis Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2154,Cancelled,0,977,EC-06,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2155,Confirmed,0,1933,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2156,Cancelled,1,1934,AS-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,91,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2157,Confirmed,0,1935,AS-04,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,91,Delivered - Normal,September,septembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2158,Confirmed,0,1936,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,100,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Prairie,2159,Confirmed,0,1937,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,94,Cancelled - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,NCR,2160,Cancelled,0,1938,EC-06,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,28,Delivered - Normal,August,août,22.5,Foundational,Fondamental,Service Excellence,Service pomal,French/Français,Québec,2161,Confirmed,0,1939,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,86,Open - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Ontario,2162,Cancelled,0,581,EX-01,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2163,Confirmed,0,1940,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,65,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2164,Cancelled,1,1941,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,60,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2165,Confirmed,0,1942,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,60,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2166,Confirmed,0,1943,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,106,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2167,Confirmed,0,1944,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,106,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2168,Confirmed,0,1945,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,106,Open - Normal,September,septembre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2169,Confirmed,0,1946,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,44,Delivered - Normal,July,juillet,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,2170,Cancelled,0,1947,EC-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,33,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,2171,Confirmed,0,1948,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,33,Delivered - Normal,August,août,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Atlantic,2172,Confirmed,0,1949,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,129,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2173,Cancelled,0,1639,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,129,Open - Normal,October,octobre,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,2174,Confirmed,0,1950,EC-06,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2175,Cancelled,0,1951,PM-03,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,80,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Ontario,2176,Confirmed,0,1952,EC-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,82,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2177,Cancelled,0,1953,EC-06,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,83,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Pacific,2178,Confirmed,0,1954,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2179,Cancelled,0,1955,EC-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2180,Cancelled,0,1956,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,85,Delivered - Normal,August,août,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2181,Cancelled,1,1957,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,88,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2182,Confirmed,0,1958,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,113,Open - Normal,October,octobre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,French/Français,NCR,2183,Confirmed,0,1959,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,99,Open - Normal,November,novembre,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,NCR,2184,Confirmed,0,1960,EC-02,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2185,Confirmed,0,1961,PM-03,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,101,Delivered - Normal,July,juillet,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2186,Confirmed,0,1962,AS-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Reconciliation Begins with Me (K105),Réconciliation (K105),K105,109,Delivered - Normal,June,juin,7.5,Specialized,Spécialisé,Indigenous,Autochtone,English/Anglais,Atlantic,2187,Confirmed,0,1963,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,56,Cancelled - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,NCR,2188,Cancelled,0,1964,EC-04,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,59,Delivered - Normal,September,septembre,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,2189,Confirmed,0,1965,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,37,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Atlantic,2190,Cancelled,0,1966,EC-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2191,Confirmed,0,1967,PM-03,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2192,Confirmed,0,1968,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2193,Confirmed,0,1969,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2194,Confirmed,0,1970,AS-02,DFO,Fisheries and Oceans Canada,Pêches et Océans Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2195,Confirmed,0,1971,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2196,Confirmed,0,1972,EC-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2197,Confirmed,0,1973,EC-02,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2198,Confirmed,0,1974,AS-04,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2199,Confirmed,0,1975,AS-04,CBD,Cannabis Canada,Cannabis Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,67,Delivered - Normal,July,juillet,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Prairie,2200,Confirmed,0,1976,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
